Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
10592130.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'gram', 'meat', 'fish', 'moth', 'milk', 'milk', 'seafood', 'sugar', 'lime', 'beef']",11,Yes
10604201.pdf,"['protein', 'ash']",2,"['gram', 'pears', 'rabbit']",3,Yes
10606575.pdf,"['ash', 'energy']",2,"['oil', 'mint', 'garlic', 'orange', 'rice', 'gram', 'mint', 'parsley', 'pepper', 'cumin', 'nutmeg', 'basil', 'parsley', 'clove', 'lime', 'nutmeg']",16,Yes
10610064.pdf,[],0,[],0,No
10631681.pdf,"['protein', 'fat', 'carbohydrate']",3,"['oil', 'ragi', 'rice', 'gram', 'corn', 'papaya']",6,Yes
10632081.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'chilli', 'pears', 'meat', 'onion', 'rabbit']",6,Yes
10643777.pdf,"['protein', 'ash', 'energy']",3,"['butter', 'oil', 'mint', 'beans', 'peach', 'soya', 'bean', 'gram', 'corn', 'mint', 'milk', 'peach', 'milk', 'peanut', 'cumin', 'peanut', 'walnut', 'walnut']",18,Yes
10655952.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'barley', 'rice', 'wheat', 'maize', 'sorghum', 'millet', 'peanut', 'peanut']",9,Yes
10656473.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['lemon', 'butter', 'chicken', 'oil', 'beans', 'orange', 'peas', 'lettuce', 'egg', 'rice', 'bean', 'gram', 'lamb', 'corn', 'pears', 'potatoes', 'meat', 'tomato', 'cabbage', 'moth', 'milk', 'apples', 'potato', 'banana', 'milk', 'cheese', 'carrot', 'sugar', 'beef', 'rabbit']",30,Yes
10688535.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'gram', 'pears', 'rabbit']",4,Yes
10697392.pdf,"['ash', 'fat', 'energy']",3,"['beans', 'egg', 'bean', 'meat', 'milk', 'milk', 'sugar']",7,Yes
10698721.pdf,"['protein', 'ash']",2,"['oil', 'ragi', 'egg', 'gram', 'pears']",5,Yes
10706541.pdf,"['moisture', 'ash', 'fat']",3,"['oil', 'orange', 'gram', 'fish', 'sugar', 'sugarcane', 'sugarcane']",7,Yes
10706690.pdf,"['protein', 'ash']",2,"['mace', 'dates', 'gram', 'goat', 'sheep', 'rabbit']",6,Yes
10706719.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'dal', 'gram', 'pears', 'lime', 'goat', 'rabbit']",8,Yes
10714945.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'pears', 'calf', 'rabbit']",5,Yes
10720169.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'beans', 'rice', 'wheat', 'bean', 'gram', 'pears', 'meat', 'beef', 'pork']",10,Yes
10721903.pdf,"['protein', 'ash']",2,"['gram', 'corn', 'meat', 'beef']",4,Yes
10731500.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['butter', 'oil', 'cauliflower', 'beans', 'orange', 'peas', 'lettuce', 'egg', 'rice', 'wheat', 'bean', 'gram', 'corn', 'meat', 'tomato', 'fish', 'cabbage', 'milk', 'potato', 'milk', 'seafood', 'pepper', 'cheese', 'cauliflower', 'beef']",25,Yes
10736790.pdf,[],0,[],0,No
10746356.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'gram', 'pears', 'fish']",4,Yes
10752530.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['lime', 'tuna']",2,Yes
10755687.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'barley', 'wheat', 'corn', 'sugar', 'lime']",6,Yes
10770967.pdf,"['protein', 'ash', 'fat']",3,"['pears', 'moth']",2,Yes
10774830.pdf,['ash'],1,"['oil', 'egg', 'moth', 'milk', 'milk']",5,Yes
10786136.pdf,[],0,[],0,No
10799377.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['chicken', 'oil', 'flour', 'mint', 'beans', 'orange', 'peas', 'dal', 'egg', 'rice', 'wheat', 'bean', 'mushroom', 'gram', 'corn', 'radish', 'mint', 'potatoes', 'meat', 'almond', 'fish', 'seeds', 'milk', 'potato', 'milk', 'seafood', 'pepper', 'cheese', 'sugar', 'beef', 'pork']",31,Yes
10801938.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['oil', 'dal', 'egg', 'wheat', 'bean', 'corn', 'pears', 'meat', 'milk', 'milk', 'beef']",11,Yes
10801946.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'egg', 'wheat', 'gram', 'milk', 'milk']",6,Yes
10807738.pdf,"['protein', 'ash', 'fat']",3,"['goat', 'rabbit']",2,Yes
10820277.pdf,"['protein', 'ash']",2,"['oil', 'gram', 'radish', 'onion', 'rabbit']",5,Yes
10827217.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['soya', 'milk', 'milk', 'sugar']",4,Yes
10864135.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'gram', 'corn', 'meat']",5,Yes
10882846.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'rice', 'gram', 'pears', 'crab']",5,Yes
10888534.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'rice', 'fish', 'cumin']",5,Yes
10894824.pdf,"['protein', 'ash']",2,"['oil', 'lime', 'calf', 'rabbit']",4,Yes
10933138.pdf,[],0,[],0,No
10933404.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'egg', 'rice', 'dates', 'gram', 'pears', 'meat', 'fish', 'moth', 'milk', 'milk']",11,Yes
10933413.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['wheat', 'gram', 'meat', 'fish', 'milk', 'milk', 'cheese']",7,Yes
10933820.pdf,['protein'],1,"['radish', 'pears']",2,Yes
10963725.pdf,"['protein', 'ash', 'fat']",3,['dal'],1,Yes
10976052.pdf,"['protein', 'ash', 'fat']",3,"['lemon', 'dal', 'egg', 'gram', 'pears', 'pepper', 'goat', 'rabbit']",8,Yes
10979150.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'egg', 'rice', 'maize', 'gram', 'lamb', 'meat', 'moth', 'milk', 'potato', 'milk', 'sugar', 'tuna']",13,Yes
11014250.pdf,[],0,[],0,No
11021741.pdf,[],0,[],0,No
11031246.pdf,"['protein', 'ash']",2,"['dal', 'egg', 'dates', 'pears', 'rabbit']",5,Yes
11034235.pdf,"['ash', 'energy']",2,['gram'],1,Yes
11049215.pdf,['protein'],1,[],0,No
11049224.pdf,"['protein', 'ash', 'energy']",3,"['dal', 'rice', 'rabbit']",3,Yes
11049229.pdf,"['protein', 'ash', 'fat']",3,"['calf', 'salmon']",2,Yes
11051586.pdf,"['protein', 'ash']",2,['rabbit'],1,Yes
11051594.pdf,"['protein', 'ash', 'energy']",3,"['chicken', 'oil', 'barley', 'garlic', 'beans', 'dal', 'egg', 'rice', 'wheat', 'bean', 'spinach', 'radish', 'potatoes', 'meat', 'fish', 'sesame', 'seeds', 'cabbage', 'onion', 'milk', 'apples', 'potato', 'milk', 'pepper', 'cheese', 'beef', 'pork']",27,Yes
11051611.pdf,['protein'],1,"['dal', 'meat', 'rabbit']",3,Yes
11052703.pdf,['ash'],1,"['beans', 'orange', 'mace', 'bean', 'mushroom', 'gram', 'lime']",7,Yes
11073063.pdf,[],0,[],0,No
11079695.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'mint', 'dal', 'soya', 'gram', 'mint', 'lime', 'beef']",8,Yes
11087544.pdf,"['moisture', 'protein', 'ash', 'fat', 'dietary fibre']",5,"['oil', 'dal', 'ragi', 'wheat', 'gram', 'spinach', 'lamb', 'meat', 'lime', 'beef', 'calf']",11,Yes
11101044.pdf,['ash'],1,['gram'],1,Yes
11115790.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['chicken', 'oil', 'dal', 'dates', 'gram', 'pears', 'fish', 'moth', 'sugar', 'beef']",10,Yes
11116114.pdf,"['protein', 'ash']",2,"['oil', 'dal', 'pears', 'sesame', 'rabbit']",5,Yes
11120824.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'gram', 'corn', 'salmon']",4,Yes
11155351.pdf,"['protein', 'ash', 'energy']",3,"['egg', 'rice', 'bean', 'curd', 'sesame', 'milk', 'milk']",7,Yes
11157325.pdf,"['ash', 'fat', 'energy']",3,"['flour', 'rice', 'wheat', 'gram', 'milk', 'milk', 'sugar']",7,Yes
11157358.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'peas', 'maize', 'spinach', 'corn', 'milk', 'milk', 'sugar']",8,Yes
11159849.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'gram', 'moth', 'goat', 'rabbit']",6,Yes
11160544.pdf,"['ash', 'fat', 'energy']",3,"['dal', 'dates', 'gram', 'moth', 'milk', 'milk']",6,Yes
11160549.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate', 'energy']",6,"['oil', 'dal', 'wheat', 'soya', 'gram', 'corn', 'pears', 'potato', 'sugar']",9,Yes
11170369.pdf,['ash'],1,"['oil', 'orange', 'pears', 'rabbit']",4,Yes
11170576.pdf,['ash'],1,['rice'],1,Yes
11170593.pdf,"['protein', 'fat']",2,"['flour', 'mace', 'bean', 'pears', 'seeds', 'cherry', 'rabbit']",7,Yes
11176096.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'ragi', 'pears']",3,Yes
11193712.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['chicken', 'dal', 'dates', 'gram', 'corn', 'potatoes', 'meat', 'tomato', 'potato', 'sugar', 'lime', 'tuna']",12,Yes
11219056.pdf,['protein'],1,"['oil', 'dal', 'gram', 'pears', 'fish', 'tuna']",6,Yes
11225925.pdf,"['moisture', 'fat']",2,"['oil', 'dal', 'rice', 'gram', 'pears']",5,Yes
11227440.pdf,"['ash', 'fat']",2,"['ragi', 'gram', 'tuna']",3,Yes
11227480.pdf,"['protein', 'ash', 'fat']",3,"['chilli', 'rice', 'gram']",3,Yes
11230550.pdf,"['ash', 'fat', 'carbohydrate']",3,"['chicken', 'peas', 'mace', 'wheat', 'soya', 'lamb', 'corn', 'meat', 'sugar', 'beef', 'pork']",11,Yes
11238756.pdf,"['ash', 'energy']",2,"['rice', 'dates', 'wheat', 'gram', 'corn', 'meat', 'milk', 'milk']",8,Yes
11238762.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['ghee', 'chicken', 'oil', 'egg', 'wheat', 'bean', 'corn', 'meat', 'curd', 'yolk', 'milk', 'milk', 'beef', 'rabbit']",14,Yes
11239016.pdf,[],0,[],0,No
11261993.pdf,"['ash', 'fat']",2,"['oil', 'barley', 'flour', 'rice', 'wheat', 'soya', 'gram', 'corn', 'pears']",9,Yes
11262018.pdf,['ash'],1,"['oil', 'dal', 'peach', 'dates', 'gram', 'corn', 'pears', 'fish', 'cabbage', 'moth', 'potato', 'peach', 'salmon']",13,Yes
11262064.pdf,"['protein', 'fat']",2,"['oil', 'dal', 'egg', 'bean', 'gram', 'corn', 'pears', 'fish', 'yolk', 'milk', 'milk', 'sugar', 'vinegar']",13,Yes
11270219.pdf,"['ash', 'fat']",2,"['lemon', 'oil', 'rice', 'lime']",4,Yes
11285332.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['orange', 'dal', 'ragi', 'egg', 'rice', 'gram', 'potatoes', 'meat', 'moth', 'milk', 'potato', 'milk']",12,Yes
11285353.pdf,"['protein', 'fat', 'energy']",3,"['rice', 'gram', 'meat', 'milk', 'milk', 'beef']",6,Yes
11291751.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['rice', 'corn', 'milk', 'milk']",4,Yes
11305600.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'gram', 'meat']",4,Yes
11310778.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['ragi', 'corn', 'pears', 'meat', 'moth', 'milk', 'potato', 'milk', 'cheese', 'sugar', 'beef']",11,Yes
11310904.pdf,[],0,[],0,No
11312850.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate']",5,"['oil', 'peas', 'ragi', 'gram', 'pears', 'meat', 'almond', 'milk', 'pistachios', 'milk', 'peanut', 'almonds', 'sugar', 'peanut', 'walnut', 'walnut']",16,Yes
11314973.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'dates', 'radish', 'meat', 'fish', 'milk', 'milk', 'calf', 'rabbit', 'salmon']",10,Yes
11314987.pdf,['ash'],1,[],0,No
11315680.pdf,"['protein', 'fat', 'energy']",3,['gram'],1,Yes
11318235.pdf,"['protein', 'ash']",2,"['ragi', 'egg', 'gram', 'basil']",4,Yes
11318238.pdf,[],0,"['moth', 'rabbit']",2,No
11330522.pdf,[],0,"['rice', 'corn', 'fish', 'goat', 'tuna']",5,No
11340042.pdf,['carbohydrate'],1,"['oil', 'mace', 'dal', 'dates', 'bean', 'spinach', 'sugar']",7,Yes
11347614.pdf,['ash'],1,"['gram', 'pears']",2,Yes
11347993.pdf,"['moisture', 'ash', 'fat']",3,"['chicken', 'oil', 'dal', 'egg', 'gram', 'meat', 'almond', 'milk', 'milk', 'cheese', 'beef', 'salmon']",12,Yes
11369739.pdf,"['protein', 'fat', 'energy']",3,"['chicken', 'oil', 'lamb', 'potatoes', 'meat', 'fish', 'potato', 'cheese', 'sugar', 'beef', 'pork']",11,Yes
11379788.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'corn', 'pears', 'meat', 'rabbit']",7,Yes
11385055.pdf,"['ash', 'fat', 'carbohydrate', 'energy']",4,"['chicken', 'mustard', 'oil', 'beans', 'lettuce', 'egg', 'wheat', 'bean', 'potatoes', 'milk', 'potato', 'cherry', 'milk', 'strawberry', 'cheese', 'beef']",16,Yes
11385076.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['mace', 'gram', 'moth', 'calf']",4,Yes
11388472.pdf,[],0,[],0,No
11389587.pdf,"['protein', 'ash']",2,"['chicken', 'orange', 'rice', 'gram']",4,Yes
11393235.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['chicken', 'oil', 'mace', 'ragi', 'rice', 'gram', 'meat', 'sugar', 'pork']",9,Yes
11393306.pdf,"['protein', 'ash']",2,[],0,No
11393310.pdf,"['ash', 'fat']",2,[],0,No
11403125.pdf,['ash'],1,"['oil', 'orange', 'dal', 'lettuce', 'egg', 'gram', 'milk', 'apples', 'milk']",9,Yes
11414017.pdf,['fat'],1,"['oil', 'flour']",2,Yes
11415487.pdf,"['protein', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",5,"['orange', 'lettuce', 'gram', 'pears', 'potatoes', 'meat', 'tomato', 'milk', 'apples', 'potato', 'milk', 'cheese', 'carrot', 'sugar']",14,Yes
11423575.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'rice', 'radish', 'goat']",4,Yes
11423579.pdf,"['protein', 'ash']",2,"['dal', 'dates', 'gram']",3,Yes
11427389.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'dates', 'gram', 'lime', 'rabbit', 'tuna']",7,Yes
11453795.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'dal', 'meat', 'fish', 'milk', 'milk', 'sugar', 'lime', 'beef']",9,Yes
11456185.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'dal', 'rice', 'milk', 'milk', 'cheese']",6,Yes
11456503.pdf,['protein'],1,[],0,No
11464274.pdf,[],0,[],0,No
11479183.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mint', 'dal', 'gram', 'mint', 'pears', 'seafood']",7,Yes
11488308.pdf,['protein'],1,"['gram', 'pears', 'moth']",3,Yes
11488449.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'rice', 'pears']",4,Yes
11496995.pdf,"['ash', 'energy']",2,"['oil', 'gram']",2,Yes
11503075.pdf,"['protein', 'fat', 'energy']",3,"['butter', 'oil', 'mace', 'ragi', 'gram', 'tomato', 'moth', 'sheep', 'tuna']",9,Yes
11504224.pdf,[],0,[],0,No
11508334.pdf,"['fat', 'dietary fibre', 'carbohydrate']",3,"['mace', 'dal', 'soya', 'bean', 'gram', 'tomato', 'milk', 'milk']",8,Yes
11509059.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'chilli', 'dates', 'gram', 'fish', 'moth', 'lime']",8,Yes
11509105.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['chicken', 'oil', 'barley', 'flour', 'beans', 'orange', 'dal', 'egg', 'rice', 'wheat', 'soya', 'bean', 'maize', 'pumpkin', 'gram', 'lamb', 'corn', 'sorghum', 'pears', 'potatoes', 'meat', 'fish', 'seeds', 'milk', 'groundnut', 'potato', 'milk', 'soyabean', 'beef', 'pork', 'rabbit', 'salmon']",32,Yes
11509106.pdf,"['moisture', 'ash', 'fat']",3,"['flour', 'ragi', 'rice', 'wheat', 'bean', 'maize', 'gram', 'tamarind', 'tuna']",9,Yes
11509110.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'egg', 'gram', 'moth', 'tuna']",5,Yes
11509602.pdf,"['protein', 'ash', 'fat']",3,"['wheat', 'bean', 'gram', 'pears', 'millet', 'tuna']",6,Yes
11509640.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'gram', 'pears', 'milk', 'milk', 'rabbit']",8,Yes
11518199.pdf,"['fat', 'energy']",2,"['flour', 'gram', 'moth', 'milk', 'milk', 'lime']",6,Yes
11522879.pdf,[],0,[],0,No
11523437.pdf,"['ash', 'fat']",2,['gram'],1,Yes
11529168.pdf,['fat'],1,"['oil', 'dal', 'rice', 'gram']",4,Yes
1168607.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'corn', 'pears']",3,Yes
1198634.pdf,"['ash', 'carbohydrate']",2,"['gram', 'pears']",2,Yes
1203227.pdf,[],0,[],0,No
1244836.pdf,['protein'],1,"['dal', 'lamb', 'sheep']",3,Yes
1314883.pdf,[],0,[],0,No
1323927.pdf,['ash'],1,['barley'],1,Yes
1390597.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['butter', 'oil', 'dal', 'egg', 'gram', 'potatoes', 'meat', 'fish', 'milk', 'potato', 'milk', 'seafood', 'sugar', 'beef', 'tuna']",15,Yes
1390616.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['chicken', 'barley', 'flour', 'beans', 'dal', 'egg', 'rice', 'wheat', 'bean', 'maize', 'gram', 'corn', 'sorghum', 'meat', 'tomato', 'milk', 'milk', 'melon', 'cheese', 'lime', 'beef', 'tuna']",22,Yes
1398887.pdf,"['protein', 'ash']",2,"['gram', 'rabbit']",2,Yes
144207.pdf,[],0,[],0,No
1487162.pdf,"['protein', 'ash']",2,"['dal', 'lime']",2,Yes
1493125.pdf,"['protein', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",5,"['dal', 'ragi', 'rice', 'gram', 'pears', 'meat', 'fish', 'milk', 'milk', 'sugar']",10,Yes
1539857.pdf,[],0,[],0,No
1569395.pdf,[],0,[],0,No
1580376.pdf,"['ash', 'energy']",2,"['oil', 'dal', 'gram', 'tuna']",4,Yes
1596502.pdf,"['protein', 'dietary fibre', 'carbohydrate']",3,"['chicken', 'oil', 'flour', 'beans', 'peas', 'egg', 'wheat', 'soya', 'bean', 'gram', 'pears', 'seeds', 'sugar']",13,Yes
1603633.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'moth', 'milk', 'milk', 'cheese', 'tuna']",6,Yes
1613462.pdf,[],0,[],0,No
162947.pdf,"['protein', 'ash', 'fat']",3,"['orange', 'mace', 'gram', 'corn']",4,Yes
1652769.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'egg', 'rice', 'gram', 'potatoes', 'meat', 'fish', 'milk', 'potato', 'milk', 'sugar']",11,Yes
175138.pdf,"['ash', 'fat']",2,"['mace', 'dal', 'corn', 'calf']",4,Yes
1752465.pdf,"['protein', 'fat']",2,['rice'],1,Yes
1760440.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'flour', 'rice', 'wheat', 'gram', 'meat', 'milk', 'milk', 'cheese', 'sugar']",10,Yes
1772865.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['oil', 'egg', 'rice', 'wheat', 'soya', 'bean', 'gram', 'corn', 'meat', 'curd', 'fish', 'milk', 'milk', 'pork']",14,Yes
1777785.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['gram', 'sugar', 'tuna']",3,Yes
178405.pdf,['ash'],1,"['dal', 'egg', 'gram', 'chana']",4,Yes
1849961.pdf,[],0,[],0,No
1851123.pdf,[],0,['corn'],1,No
1877519.pdf,"['protein', 'fat']",2,"['milk', 'milk']",2,Yes
1886172.pdf,[],0,[],0,No
1901954.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dal', 'gram', 'pears', 'calf']",5,Yes
1918365.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['oil', 'dal', 'bean', 'gram', 'pears', 'meat', 'moth', 'milk', 'milk', 'sugar', 'goat', 'rabbit']",12,Yes
1965166.pdf,"['ash', 'fat']",2,"['pears', 'moth', 'lime', 'tuna']",4,Yes
2001842.pdf,[],0,['corn'],1,No
2010090.pdf,['protein'],1,['corn'],1,Yes
2088758.pdf,"['ash', 'fat', 'energy']",3,"['gram', 'pears', 'moth', 'tuna']",4,Yes
2119221.pdf,['fat'],1,"['oil', 'barley', 'rice', 'bean', 'pears', 'rabbit']",6,Yes
2119222.pdf,"['protein', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",5,"['oil', 'meat', 'milk', 'milk']",4,Yes
2134706.pdf,[],0,[],0,No
