Id,Text,Nutrients,Foods,Enhance,Inhibit,Label
10799377.pdf,"Prediction of dietary iron absorption: an algorithm for calculatingabsorption and bioavailability of dietary iron13Leif Hallberg and Lena HulthnABSTRACTBackground: Dietary iron absorption from a meal is determinedby  iron  status, heme-  and  nonheme-iron  contents, and  amountsof various dietary factors that influence iron absorption Limitedinformation is available about the net effect of these factorsObjective: The  objective  was  to  develop  an  algorithm  for  pre-dicting the effects of factors known to influence heme- and non-heme-iron absorption from meals and dietsDesign: The basis for the algorithm was the absorption of ironfrom a wheat roll  containing no known inhibitorsor enhancers of iron absorption and adjusted to a reference doseabsorption of 40% This basal absorption was multiplied by theexpected effect of different amounts of dietary factors known toinfluence  iron  absorption: phytate, polyphenols, ascorbic  acid,meat, fish  and  seafood, calcium, egg, soy  protein, and  alcohol",protein,"wheat, seafood, fish, egg, meat",enhance,inhibit,0
10799377.pdf,"4, and  44  mg  Ca/meal  in  the  soybean-protein  isolates  It  can  be  estimated  from  Equation  5 that  thehigher  calcium  content  in  the  control  meals  would  reduce  ironabsorption by 25% The average absorption ratio of iron from thesoy meals and the control meals was 033 after correction for thehigher calcium content in the control meals The inhibitory effecton iron absorption per gram of soy protein  would thus be asfollows: 1  2  30x = 0",protein,gram,,inhibit,0
10799377.pdf,"  Flavonoids  with  asimilar  structure  may  therefore  be  expected  to  have  the  sameinhibitory effect on iron absorption lDownoadedfromhttps://ij//academcoupcomacnartice71511474729231by////lIndaniInstittueoflTechnoogyRoparuseron08April2022             1152HALLBERG AND HULTHNFormula for log heme-iron absorption and the computerprogramIron absorption from single mealsThe formula is the product of the basal factor 221 multipliedby one or more of the 8 dietary factors present in each meal: thephytate factor, the ascorbic acid factor, the polyphenol factor , the calcium factor, the meat factor, the soy-protein  factor, the  egg  factor, and  the  alcohol  factor",protein,"egg, meat",,inhibit,0
10801938.pdf,"Nutritional MethodologyCaco-2 Cells Can Be Used to Assess Human Iron Bioavailability from aSemipuried Meal1Angela P Au and Manju B Reddy2Department of Food Science and Human Nutrition, Iowa State University, Ames, IA 50011ABSTRACT A Caco-2 cell model with extrinsic radioiron was used to evaluate the effect of dietary factors onnonheme iron bioavailability from a semipuried meal Study 1 was conducted to evaluate the effect of enhancers and inhibitors  on iron bioavailability when added to semipuried mealcontaining egg albumen as a protein source The effect of various proteins [bovine serum albumin , casein,beef and soy] on iron bioavailability was evaluated in Study 2 by substituting the above protein sources for eggalbumen",protein,"beef, egg",enhance,,1
10882846.pdf,"  Eur  Neuropsychopharmcol5:457463Randt  CT,  Judge  ME,  Bonnet  KA,  Quartermain  D  :Brain cyclic AMP and memory in mice Pharmacol Bio-chem Behav 17:667680Romano  A,  Delorenzi  A,  Pedreira  ME,  Tomsic  D,  Mal-donado  H  :  Acute  administration  of  a  permeantanalog  of  cAMP  and  a  phosphodiesterase  inhibitorimprove  long-term  habituation  in  the  crab  Chasmag-nathus Behav Brain Res 75:119125Schneider  HH  :  Brain  cAMP  response  to  phosphodi-esterase  inhibitors  in  rats  killed  by  microwave  irradia-tion or decapitation Biochem Pharmacol 33:16901693Shapiro  ML,  Caramanos  Z  :  NMDA  antagonist  MK-801  impairs  acquisition  but  not  performance  of  spatialworking and reference memory 18:231243Smith PK, Krohn RI, Hermanson GT, Mallia AK, Gartner FH,Provenzano  MD,  Fujimoto  EK,  Goeke  NM,  Olson  BJ,Klenk  DC  :  Measurement  of  protein  using  bicin-choninic  acid  [published  erratum  appears  in  Anal  Bio-chem 1987 May 15; 163:279]",protein,crab,,inhibit,0
11051594.pdf,"Biological  Trace  Element  Research29Vol  75,  200030INTRODUCTIONKwun  and  KwonThe adequate nutritional intake of zinc depends on both the amountof  this  element  in  the  diet  and  its  bioavailability  Phytate    is  a  compound  found  primarily  in  plant  seeds  and  hasbeen  reported  to  be  a  major  factor  inhibiting  the  bioavailability  of  zinc  Growth  retardation,  the  major  zinc-deficiency  syndrome,  has  beenreported  among  adolescents  in  Iran  and  Egypt   and  in  otherwisehealthy children in Canada  In Canada, meat and fish are the majorfood  sources  of  readily  available  zinc,  whereas  grain  products  are  amajor  food  source of  phytate",,"fish, meat, seeds",,inhibit,1
11157358.pdf,"MECHANISMSubstrate dependencyof SCFAs, and luminal acidification In addition to inulin ,oligofructose  , and  galactooligosaccharide  , lactulose  stimulated  magnesium, calcium, and  phosphorusabsorption in intact rats and reduced luminal pH  Anothersoluble but nondigestible carbohydrate, guar gum hydrolysate,effectively  stimulated  calcium  and  magnesium  absorption  inrats    It  was  shown  that  bifidobacteria  were  found  in  ratsfed  guar  gum  but  not  in  those  fed  pectin    and  that  thegrowth of bifidobacteria was stimulated in rats fed a diet con-taining 2 types of resistant starch but not in the control animalsfed maize starch Contribution of metabolitesThe fermentation of NDOs increased fecal bifidobacteria , raised SCFA concentrations , reduced the intra-luminal pH , and increased the weight of cecal con-tents  as  well  as  cecal  wall  weight  , cecal  crypt  height,numbers of epithelial cells per crypt, and cecal vein blood flow",carbohydrate,maize,raise,,1
11170593.pdf," Male rabbit aortic endothelialcells pretreated with soy extract were resistant to the toxic effects of high levels of LDL and LDL-,and a lesser, but significant protection, was also afforded by alfalfa extract Cell-mediated oxidationof LDL, measured by LDL- formation, was inhibited in the presence of soy extract but not alfalfaextract However, in the presence of acerola cherry extract, both soy and alfalfa extracts potentlyinhibited the formation of LDL- These findings show that acerola cherry extract can enhance theantioxidant activity of soy and alfalfa extracts in a variety of LDL oxidation systems The protectiveeffect of these extracts is attributed to the presence of flavonoids in soy and alfalfa extracts andascorbic acid in acerola cherry extract, which may act synergistically as antioxidants",,"cherry, soy",enhance,,1
11170593.pdf," Recently, we reported the interaction between17-estradiol and AA; we demonstrated that AA canenhance the antioxidant effect of estradiol by preventingLDL oxidation by copper ions or cells , which is analogous to the interaction describedfor vitamin E and AA A synergistic interaction betweengenistein, daidzein, and equol with AA has also beendemonstrated to prevent LDL oxidation by copper ionsIn this paper, we describe the antioxidant activity ofsoy , alfalfa , and acerolacherry  extracts Because it is oftenthese extracts, rather than isolated components, thatare used as phytoestrogens, a study was undertaken oftheir antioxidant activities in the form of marketedextracts We also describe the interaction between soyand alfalfa with acerola cherry extract, based on theoxidation kinetics of LDL measured in vitro and in thepresence of cultured rabbit aortic endothelial cells",,"cherry, soy",enhance,,1
11238756.pdf," E-mail: bhargava @ uhedu3 Abbreviations used: FeBIO, bioavailable iron; FeMFP, iron from meat, shand poultry; FeTOT, total iron; Hb, hemoglobin; IDA, iron deciency anemia; MFP,meat, sh and poultry; MUAC, mid upper arm circumferencesh, poultry  and vitamins A and C, which enhancenonheme iron absorption, and of phytates and tannins, whichinhibit it The algorithms developed for calculating iron bioavailabil-ity in the presence of enhancers such as meat and vitamin Cwere recently extended to incorporate the inhibitory effects ofphytates, which chelate iron, thereby reducing its absorption Although iron intake by the poor inBangladesh comes from staple foods such as rice, contamina-tion iron from pots, small quantities from green and yellowvegetables and animal products, the phytate content of themeal is typically high",iron,meat,,inhibit,1
11238762.pdf,"5% CLA, yolks hardened and fertile eggsfailed to hatch, possibly due to increased 16:0 and 18:0 anddecreased 18:1 in the egg yolk The relative percentage of16:1 and 18:1 of eggs from the CLA group decreased;40 and ;31%, respectively, compared with the CO group It is not known whether the changes in fatty acidproles of yolk are the result of a mixture of CLA isomers orspecic isomers Lee et al  suggested that the trans-10,cis-12 CLA isomer reduced the ratio of MUFA to SFA byinhibiting liver stearoyl-coenzyme A desaturase enzyme activ-ity, an enzyme that catalyzes the insertion of a double bondbetween the C9 and C10 atoms of either 16:0 or 18:0 in theformation of 16:1 and 18:1, respectively ",,"egg, yolk",,inhibit,0
11262018.pdf," Lee et al  demonstratedthe toxicity of a number of essential oil constituentsagainst the western corn rootworm, Diabrotica virgiferavirgifera, the two-spotted spider mite, Tetranychusurticae, and the common house fly, Musca domesticaEugenol has demonstrated contact toxicity to the Ameri-can cockroach, Periplanata americana , and carvacrolis acutely toxic to the German cockroach, Blattellagermanica, and to many other insects  The toxicityof anethole has been demonstrated against a numberof species, including various beetles, weevils, mosqui-toes, and moths Compounds lacking acute toxicity may still conferprotection to crops by reducing fitness of insect herbi-vores via inhibition of larval growth, disruption of larvaldevelopment, or failure in pupal eclosion",,"corn, oil",,inhibit,0
11262064.pdf,"antioxidants and their efficacy in model emulsions Toinvestigate this hypothesis, gallic acid was included inthe present study, as 80% gallic acid partitioned intothe aqueous phase of mayonnaise Egg yolk has a high content of iron g/g) It is well-known that transition metals accelerate oxidation reac-tions by hydrogen abstraction and peroxide decompo-sition, which results in the formation of free radicals Moreover, our previous investigations indicatedthat iron ions, originating from egg yolk, participate inthe initiation of the oxidation processes in fish oilenriched mayonnaise  and that EDTA can inhibitthe formation of free radicals in this system ",,"egg, fish",,inhibit,1
11347993.pdf," Combinationsof 25% SL and 02% SDA can be expected to greatly enhance the safety of refrigerated and temperature-abusedready-to-eatmeatsFoodborne listeriosis, caused by Listeria monocytoge-nes, continues to be of major concern to the food industryand the general public because of its high mortality rate ofmore than 25% and its economic impact Outbreaks have been associated with ready-to-eat foodssuch as coleslaw, milk, soft cheese, and meats ",,"milk, cheese",enhance,,0
11347993.pdf," monocytogenes at 108C,and more inhibitory at refrigeration temperaturesThe inhibitory effects of the salts used in this studyare not dependent on pH reduction, since the meat pH re-mained at approximately 6 throughout the storage periodsTherefore, other mechanisms, different from those proposedfor their acids , are responsible for the inhibitoryeffects of these salts Although the mechanism of synergyof the salts is not yet understood, it was demonstrated herein an additive-free, low-fat, sterile beef emulsion Equal orsuperior inhibition of listeriae and salmonellae can be ex-pected in ready-to-eat  meats that contain sodiumchloride, nitrites, and other antimicrobial additives",,"beef, meat,salt",,inhibit,1
11347993.pdf," En-hanced effect of the inhibitory system is further predictedin most RTE meat products because of their higher fat con-tent  and the partition of the inhibitors in the waterfraction of the foods Moreover, since Salmonella Enteriti-dis is associated with poultry and eggs, the use of the an-timicrobials combination can be extended also to RTEfoods containing such products Testing the effect of thelDownoadedfromhttp://meridanaillenpresscom/jf/partice-pdlf/////64564016718160362-028x-64_5_640pd",fat,meat,,inhibit,0
11347993.pdf," A, and Q Yang 1991 Growth suppression of Listeriamonocytogenes by lactates in broth, chicken and beef",,"beef, chicken",,suppress,0
11456185.pdf," No chemical or physical changes in enzymeactivity, fat, or protein integrity, starter growth rennet, clot-ting yield, cheese production, calcium distribution, caseinstructure, or  avor degradation were found in milk treatedwith 40 pulses of 367 kV/cm over a 25-min time interval, which is a more severe PEF treatment than used in thisstudy Therefore an altered protein conformation as a consequenceof PEF treatment could not have attributed to the profoundinactivation found upon treatment with carvacrol and PEFThis is supported by the fact that lowering of the proteincontent did not lead to a signi cant decrease in activity ofcarvacrol combined with PEF treatment Even a low con-centration of 5% milk was still suf cient for carvacrol toincrease the inhibitory activity of the PEF treatment ","fat, protein","milk, cheese",,inhibit,0
11509105.pdf,"1079/BJN2001309Dietary diversification/modification strategies to enhance micronutrientcontent and bioavailability of diets in developing countriesRosalind S Gibson* and Christine HotzDepartment of Human Nutrition, University of Otago, Dunedin, New ZealandBoth cereal staples and household diets can be manipulated to enhance the content ofmicronutrients and/or alter the levels of absorption modifiers to improve micronutrientbioavailability Strategies described range from plant breeding, use of fertilizers and geneticengineering to changes in food preparation and processing methods at the household levelinvolving soaking, fermentation and germination The impact of five household strategiesdesigned to enhance the content and bioavailability of iron, zinc and calcium in a representativedaily menu for rural Malawian preschool children has been calculated using food compositiondata In the five strategies, relishes based on small dried fish replaced plant-based relishes,maize-based porridges prepared with maize flour soaked to reduce its hexa - and penta-inositol phosphate content replaced conventional porridges; and a pumpkin-leaf relishreplaced sweet potato to increase the retinol content of the daily menu",,"maize, pumpkin, fish, potato",enhance,,1
11509105.pdf," In the Third Report of theWorld Nutrition Situation , a third trace element, zinc, was added to this listDeficiencies of these micronutrients arise from inade-quate intakes,impaired absorption and/or utilization,excessive losses, or a combination of these factors andare exacerbated during times of greater physiological needsuch as infancy, pregnancy, lactation and catch-up growthfollowing illness In many developing countries, rural dietsare based predominantly on cereals and legumes or starchyroots and tubers: consumption of flesh foods such as meat,poultry, and small whole fish with bones, readily availablesources of iron, zinc, and preformed vitamin A, is oftensmall because of economic, cultural and religious con-straints In general, diets based on starchy roots and tubershave a lower micronutrient content than those based onunrefined cereals and legumes However, the latter oftencontain high levels of phytic acid  and polyphenols which inhibit zinc and/or non-haem iron absorption by forming insoluble complexes inthe intestine",,"fish, meat",,inhibit,0
11509105.pdf," Alternatively, plant-breeding can be employedto produce new varieties of cereal grains, orange-fleshedsweet potatoes and cassava roots, with an increased contentof iron, zinc, and/or beta-carotene , or genotypes in which the TE areremobilized from the vegetative parts to the grain  Modern genetic alterations are being usedto modify cereals such as rice  to containbeta-carotene  and increase their content ofiron through the use of a ferritin transgene from Phaseolusvulgare  Allthese approaches have the potential to have a major impacton the micronutrient intakes of population groups whoderive at least 50 % of their dietary energy from a singlecereal staple, such as maize, rice, or cassavaPlant breeding, genetic mutations, and genetic engineer-ing strategies are also being developed to improve thebioavailability of micronutrients in cereal staples byaltering their content of absorption modifiers For somecereals , plant breeding may be used to enhancetheir content of methionine and cysteine, sulfur-containingamino acids which promote zinc and non-haem ironabsorption ",energy,"potatoes, maize, orange, rice",enhance,,1
11509105.pdf," Selection of mutants andgenetic engineering can also be used to reduce the contentof absorption inhibitors , and increase thecontent of mineral absorption enhancers For example, agene which codes for a sulphur-rich metallothionein-likeprotein can be introduced into rice , a proteinwhich increases the resorption-enhancing effect of ironfrom the small intestineGenetic mutations can be used to reduce the content ofmineral absorption inhibitors, such as phytate, whichnaturally occurs in abundance in cereals  Forexample,induced genetic mutations which block thesynthesis of phytate in corn, barley and rice, can reducethe level of phytic acid phosphorus by more than 50 % inthese cereals  A low-phytate maizeprepared by this method was assessed for absorption of ironfrom tortillas using the extrinsic labeling technique",protein,"barley, corn, rice",enhance,,1
11509105.pdf,"Dietary strategies to enhance micronutrient statusS161Table 2 Menus for 46-year-old Malawian children incorporating five strategies to enhance their nutrient content and bioavailabilityDaily menuBreakfast: 257 g unrefined maize porridge, 196 g boiled sweet potatoLunch: 279 g unrefined maize nsima, 88 g pumpkin leaf relishEvening meal: 279 g unrefined maize nsima, 111 g pigeon-pea relish, 43 g roast groundnutsStrategy 1Strategy 2Strategy 3Strategy 4Strategy 5Breakfast: 257 g unrefined maize porridge, 196 g boiled sweet potatoLunch: 279 g unrefined maize nsima, 100 g dried fish relishEvening meal: 279 g unrefined maize nsima, 100 g small dried fish relish, 43 g roast groundnutsBreakfast: 257 g unrefined maize porridge, 88 g pumpkin leaf relishLunch: 279 g unrefined maize nsima, 100 g small dried whole fish  relishEvening meal: 279 g unrefined maize nsima, 100 g small dried whole fish  relish, 43 g roast groundnutsBreakfast: 257 g soaked unrefined maize porridge, 196 g boiled sweet potatoLunch: 279 g soaked unrefined maize nsima, 100 g small dried whole fish  relishEvening meal: 279 g soaked unrefined maize nsima, 100 g small dried whole fish  relish, 43 g roast groundnutsBreakfast: 257 g soaked unrefined maize porridge, 88 g pumpkin leaf relishLunch: 279 g soaked unrefined maize nsima, 100 g small dried whole fish  relishEvening meal: 279 g soaked unrefined maize nsima, 100 g small dried whole fish  relish, 43 g roast groundnutsBreakfast: 257 g soaked unrefined maize porridge, 196 g boiled sweet potatoLunch: 279 g soaked unrefined maize nsima, 88 g pumpkin leaf relishEvening meal: 279 g soaked unrefined maize nsima, 111 g pigeon pea relish, 43 g roast groundnutstransferred from Aspergillus niger into tobacco seeds , and a transgene for a heat stable phytase fromAspergillus fumigatus has been incorporated into rice",,"maize, pumpkin, fish, seeds, rice",enhance,,0
11509105.pdf," Values for theestimated nutrient requirements are taken from the UnitedKingdom Dietary Reference Values, as used by WHO , with the exception ofzinc, iron, retinol, folate and vitamin B12 For zinc, thebasal and normative requirement estimates published by theWorld Health Organization  have been usedFor iron, retinol, folate and vitamin B12, the levels proposedby FAO/WHO  were applied, using the basalrequirement estimates for iron and retinol, and the safelevels of intake for folate and vitamin B12 Note thatdeficits in the energy, calcium, iron, zinc, and vitamin B12exist in the representative menu when compared to theenergy and estimated nutrient requirements shown in Table3, when low bioavailability for iron and zinc are assumedIncorporation of flesh foods such as dried whole fish withbones to enhance micronutrient content and bioavailabilityin the daily dietIncorporation of some flesh foods into predominantlyin developing countries has manyplant-based dietsreadilyadvantages",energy,fish,enhance,,0
11509105.pdf," Note that thevitamin A content ofthis modified menu has beendramatically reduced However, this deficit can be rectifiedby using fatty fish, substituting boiled sweet potato with avariety with a higher carotenoid content , or using a relish of pumpkin leaves, as shown instrategy 2 The marked increase in vitamin B12 intake isalso noteworthy in view of the recent findings from theNutrition CRSP study which highlighted the high pre-valence of vitamin B12 deficiency in Mexican preschooland school aged children, as well as women The lowplasma B12 concentrations were accompanied by low redblood cell counts and,in some cases, a tendency tomacrocytosis; plasma folate values were not low Use of soaking to enhance micronutrient bioavailability inhousehold diets for infant and child feedingDespite the inclusion of two servings of dried fish relish inthe adjusted menu described, and the consequent reductionin the [Phy]:[Zn] molar ratio, the bioavailability of iron andzinc in this menu is still only moderate",,"fish, potato, pumpkin",enhance,,0
11509105.pdf,"Finally, in strategy 5, the fish relish has been omitted butthe porridge and nsima have been prepared with soakedunrefined maize flour to illustrate the impact of reducingthe phytate content alone on the nutrient adequacy of therepresentative daily menu Despite the expected reductionsin the phytate content and molar ratios of [Phy]:[Zn] and[Phy]:[Fe], the bioavailability of non-haem iron and zinc isunlikely to be increased from low to moderate in this menuthat incorporates soaking alone; the [Phy]:[Zn] molar ratiois still above 15 , and the level of phytate is stillhigh  Reducing the phytate content of amaize-based diet is known to have very little impact on ironabsorption, unlike zinc, unless the final phytate content isextremely low  These resultsemphasize the importance of including a source of cellularanimal protein in combination with a reduction in thephytate content in order to improve the bioavailability ofiron and zinc in maize-based diets Consumption ofascorbic acid-rich foods such as citrus fruits with themain meals is also an additional strategy that can be used tofurther enhance non-haem iron absorption ",protein,"flour, fish, maize",enhance,,0
11509105.pdf," niger compared to those receiving the same mealbut with no added microbial phytase The high cost of thesecommercially produced microbial phytases, however,probably precludes their use in many developing countriesat the present timeTo date, in vivo studies of iron and zinc bioavailability incereal porridges prepared with and without soaking orfermenting flour slurries are limited, although some in vitromeasurements of soluble iron have been reported  Animal studies have shown greaterfemoral zinc in rats fed with diets containing fermentedsoybean meal than those fed with regular soyabean meal,probably resulting from increased zinc solubility in thesmall intestine Use of germinated cereals to enhance micronutrient densityand bioavailability in porridges for infant and child feedingforGerminated flours can be used to enhance the energy andnutrient density of cereal-based porridgesinfantfeeding, while simultaneously reducing their phytatecontent to some degree ",energy,"flour, soyabean",enhance,,0
11509105.pdf," Encourage integration of aquaculture into farmingsystems, and encourage village-based technologiesfor drying fish and preparing fish flour Small soft-boned fish consumed with bones are importantiron,sources ofvitamin B12, and for some species, preformed vitaminA, especially in countries where religious and/orcultural factors prevent the consumption of meat andpoultry Small dried fish consumed as a whole are arequirepractical alternative because they do notrefrigeration When prepared as fish flour, they canbe used to enrich cereal-based porridges for infants,children, pregnant and lactating women, althoughcare must be taken to avoid rancidity Use of a newreadily available zinc, calcium,factorfarmer-focused systems approach whereby aquacul-ture is incorporated into existing farming systemswith the minimum of investment should be exploredto enhance the contribution of aquaculture in house-hold nutrition ",,"flour, fish, meat",enhance,,0
11739600.pdf," Striatal protein extracts were prepared asdescribed above Proteins g) were loaded onto a 12% acrylamideresolving gel /4% stacking gel for SDS-PAGE and electroblotted ontopoly vinylidene diuoride membranes Membranes were blocked in TBS-T  containing 3% non-fat dry milk and then incubatedovernight at 4C with antiserum After four 15 min rinses in TBS-T,membranes were incubated with horseradish peroxidase-conjugated anti-rabbit antibodies  for 1hr at room temperature The membranes were washed four times for 15min each in TBS-T and developed with the enhanced chemolumines-cence method , and exposed toHyperlm-ECL  for 5 45 min","fat, protein","rabbit, milk",enhance,,0
11925486.pdf,"Thus, there are two major technical barriers to overcomewhen developing an iron-fortied food The rst is the selec-tion of an iron compound that causes no sensory changes butis adequately absorbed; the second is to overcome the inhib-itory effect of phytic acid and other food components on ironabsorptionThese barriers can be overcome, and iron-fortied foods thathave demonstrated an improved iron status in the target popu-lation include infant formula , infant cereal , sugar and sh sauce  It is noteworthy that all of these foods wereconsumed with an enhancer of iron absorption  added to overcome absorption inhibitors Currently,however, there is little direct evidence that iron fortication ofmajor staple foods, such as wheat our or corn our, is a usefulstrategy to combat iron deciency",,"corn, wheat, sugar",enhance,inhibit,0
